unix,date,open,high,low,close,volume,sma20,sma50
1641156300000,2022-01-02 20:45:00+00:00,46956.18,47035.0,46920.0,47007.14,90.15186,47220.5295,47224.408
1641157200000,2022-01-02 21:00:00+00:00,47007.14,47187.98,46913.27,47156.46,160.74984,47206.797000000006,47224.317
1641158100000,2022-01-02 21:15:00+00:00,47156.45,47159.3,47038.24,47060.0,83.38568,47188.8185,47221.069
1641159000000,2022-01-02 21:30:00+00:00,47060.0,47162.83,47050.94,47063.55,100.82494,47164.6685,47218.039
1641159900000,2022-01-02 21:45:00+00:00,47063.54,47063.55,46990.0,47018.03,87.63522,47125.955,47211.6226
1641160800000,2022-01-02 22:00:00+00:00,47017.98,47195.0,47014.84,47191.32,124.08847,47108.035500000005,47207.849
1641161700000,2022-01-02 22:15:00+00:00,47191.31,47191.32,47108.52,47156.3,99.06626,47083.531,47205.5102
1641162600000,2022-01-02 22:30:00+00:00,47155.98,47398.99,47155.31,47380.98,371.53311,47073.031,47206.1632
1641163500000,2022-01-02 22:45:00+00:00,47380.98,47380.99,47230.0,47255.38,89.03412,47065.743,47205.8262
1641164400000,2022-01-02 23:00:00+00:00,47255.39,47428.52,47255.38,47316.86,190.19099,47068.8855,47206.8634
1641165300000,2022-01-02 23:15:00+00:00,47316.86,47405.01,47266.6,47394.62,254.05109,47091.166000000005,47210.978
1641166200000,2022-01-02 23:30:00+00:00,47394.62,47469.34,47303.97,47346.04,181.2578,47113.014500000005,47212.456600000005
1641167100000,2022-01-02 23:45:00+00:00,47346.04,47383.8,47283.71,47286.18,123.98148,47124.4175,47211.980200000005
1641168000000,2022-01-03 00:00:00+00:00,47286.18,47289.11,47139.19,47139.19,265.91351,47128.1175,47209.53680000001
1641168900000,2022-01-03 00:15:00+00:00,47139.2,47252.77,47139.19,47174.43,170.25227,47141.054500000006,47208.3154
1641169800000,2022-01-03 00:30:00+00:00,47174.44,47181.31,47062.11,47150.01,166.62155,47151.45,47209.1482
1641170700000,2022-01-03 00:45:00+00:00,47150.02,47211.46,47050.0,47050.08,131.33061,47158.57,47207.02480000001
1641171600000,2022-01-03 01:00:00+00:00,47050.09,47087.64,47024.38,47041.13,200.4788,47158.8525,47201.6384
1641172500000,2022-01-03 01:15:00+00:00,47041.12,47087.95,46950.0,47035.77,196.95862,47158.9825,47196.49480000001
1641173400000,2022-01-03 01:30:00+00:00,47035.77,47086.2,46976.46,46976.46,105.33698,47159.9965,47193.4118
1641174300000,2022-01-03 01:45:00+00:00,46976.46,47138.78,46964.71,47116.71,125.2814,47165.475,47190.7704
1641175200000,2022-01-03 02:00:00+00:00,47116.22,47116.71,46900.04,46925.9,213.88573,47153.947,47185.7114
1641176100000,2022-01-03 02:15:00+00:00,46925.9,47008.59,46870.0,46997.37,135.66735,47150.8155,47182.9118
1641177000000,2022-01-03 02:30:00+00:00,46997.36,47051.89,46955.01,46980.49,176.70711,47146.6625,47179.0216
1641177900000,2022-01-03 02:45:00+00:00,46980.49,47031.24,46858.44,46999.98,255.44695,47145.76,47177.896400000005
1641178800000,2022-01-03 03:00:00+00:00,46999.98,47084.8,46950.62,46950.62,157.76338,47133.725,47174.0892
1641179700000,2022-01-03 03:15:00+00:00,46950.62,46971.29,46871.09,46958.64,169.84288,47123.842,47171.011
1641180600000,2022-01-03 03:30:00+00:00,46958.64,46981.41,46740.0,46787.72,301.60166,47094.179,47161.0226
1641181500000,2022-01-03 03:45:00+00:00,46787.72,46847.13,46722.39,46793.26,221.23062,47071.073,47153.1684
1641182400000,2022-01-03 04:00:00+00:00,46793.27,46888.87,46750.0,46853.7,175.80674,47047.915,47146.164800000006
1641183300000,2022-01-03 04:15:00+00:00,46853.7,46910.23,46818.43,46841.99,201.80369,47020.2835,47136.1952
1641184200000,2022-01-03 04:30:00+00:00,46841.97,46944.77,46821.79,46928.72,171.80101,46999.4175,47126.1474
1641185100000,2022-01-03 04:45:00+00:00,46928.73,46935.85,46800.0,46822.26,139.08731,46976.2215,47114.2012
1641186000000,2022-01-03 05:00:00+00:00,46822.26,46884.69,46750.13,46770.46,204.10872,46957.785,47098.67939999999
1641186900000,2022-01-03 05:15:00+00:00,46770.46,47027.84,46770.09,46965.38,244.70845,46947.3325,47082.141
1641187800000,2022-01-03 05:30:00+00:00,46965.38,47211.09,46960.48,47149.09,350.0666,46947.2865,47074.1286
1641188700000,2022-01-03 05:45:00+00:00,47149.09,47178.82,47035.24,47078.64,119.73796,46948.7145,47062.7736
1641189600000,2022-01-03 06:00:00+00:00,47078.64,47100.0,47017.2,47017.21,140.88882,46947.5185,47051.298200000005
1641190500000,2022-01-03 06:15:00+00:00,47017.22,47048.0,46946.22,46968.17,133.34102,46944.1385,47042.6388
1641191400000,2022-01-03 06:30:00+00:00,46968.16,47061.37,46930.86,47049.21,169.03983,46947.776,47038.5428
1641192300000,2022-01-03 06:45:00+00:00,47049.22,47055.37,46877.84,46923.75,153.36102,46938.128,47038.0376
1641193200000,2022-01-03 07:00:00+00:00,46923.75,46937.97,46852.38,46928.09,167.39998,46938.2375,47038.418
1641194100000,2022-01-03 07:15:00+00:00,46934.2,46967.95,46888.08,46957.8,127.6184,46936.259000000005,47036.4116
1641195000000,2022-01-03 07:30:00+00:00,46957.81,47021.84,46951.29,46989.3,153.65956,46936.6995,47034.8938
1641195900000,2022-01-03 07:45:00+00:00,46989.3,47080.0,46956.68,47051.37,186.54792,46939.269,47037.6074
1641196800000,2022-01-03 08:00:00+00:00,47051.36,47135.97,47018.0,47060.01,247.92114,46944.7385,47039.9656
1641197700000,2022-01-03 08:15:00+00:00,47060.0,47062.7,46983.55,46994.37,171.60948,46946.525,47041.6994
1641198600000,2022-01-03 08:30:00+00:00,46994.38,47026.21,46936.43,46956.94,131.0369,46954.986,47040.1286
1641199500000,2022-01-03 08:45:00+00:00,46956.93,46999.8,46922.27,46978.82,134.07362,46964.264,47039.0416
1641200400000,2022-01-03 09:00:00+00:00,46978.81,47109.25,46963.85,46966.86,198.24751,46969.922000000006,47039.25520000001
1641201300000,2022-01-03 09:15:00+00:00,46964.02,46973.07,46787.0,46820.0,319.1489,46968.8225,47035.5124
1641202200000,2022-01-03 09:30:00+00:00,46819.66,46910.26,46778.0,46884.99,208.43622,46966.636000000006,47030.083
1641203100000,2022-01-03 09:45:00+00:00,46884.99,47000.0,46870.0,46984.55,261.23854,46974.7505,47028.574
1641204000000,2022-01-03 10:00:00+00:00,46984.56,47251.19,46981.84,47191.06,447.38493,46995.7805,47031.1242
1641204900000,2022-01-03 10:15:00+00:00,47191.06,47213.19,47065.51,47080.98,305.73939,47001.5605,47032.3832
